,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
15,2022,3,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1087.0,1056.0,1066.0,1078.0,510.1,591.6,538.3,470.2,0,1.0,620.0,B,E,F,B,2,A,A,B,B,A,A,B,B,B,A,A,A,A,B,A,A,C,B,B,B
16,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1187.0,1177.0,1181.0,1183.0,461.1,474.3,494.4,456.9,0,1.0,640.0,H,D,C,B,4,B,A,C,D,A,A,B,A,B,A,B,A,A,B,A,A,E,A,A,B
17,2022,3,F,1,1,1,2,0,3,1.0,0,5300108.0,Brasília,53.0,DF,4.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,630.9,655.0,655.6,692.4,0,1.0,820.0,F,F,E,E,4,P,C,E,E,D,A,B,B,B,B,C,A,B,B,A,B,E,A,E,B
18,2022,2,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,545.6,561.7,553.4,521.1,1,1.0,660.0,E,B,B,B,3,C,A,C,D,B,A,B,B,B,A,B,A,B,C,B,A,D,B,B,B
19,2022,3,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,520.1,565.8,549.9,406.4,1,1.0,720.0,D,D,B,B,8,B,A,C,D,B,A,C,A,C,B,B,A,A,C,B,A,E,B,B,B
20,2022,12,M,1,2,1,2,0,2,,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,0,0,0,0,,,,,,,,,0,,,E,E,B,B,3,E,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,A,B,B
21,2022,3,M,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1085.0,1057.0,1068.0,1075.0,412.5,532.6,561.5,521.2,0,1.0,580.0,E,E,F,B,3,A,A,B,D,B,A,B,B,B,A,B,A,A,D,B,B,D,A,C,B
22,2022,8,M,1,3,1,2,0,2,,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,0,0,0,0,,,,,,,,,1,,,D,C,B,B,9,B,A,B,D,B,A,B,B,B,A,A,A,A,B,A,A,E,A,A,B
23,2022,3,F,1,3,1,2,0,2,1.0,0,5300108.0,Brasília,53.0,DF,2.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1086.0,1055.0,1065.0,1076.0,400.0,536.7,490.3,500.8,1,1.0,720.0,H,E,D,B,4,D,A,C,D,B,A,B,B,B,A,B,A,A,C,B,A,D,B,A,B
24,2022,2,F,1,1,1,2,0,3,1.0,0,5300108.0,Brasília,53.0,DF,4.0,1.0,1.0,5300108,Brasília,53,DF,1,1,1,1,1088.0,1058.0,1067.0,1077.0,508.5,599.9,511.2,482.7,0,1.0,700.0,G,G,E,E,3,K,D,C,D,C,A,C,B,B,A,B,A,B,D,B,B,B,A,D,B
